loc_rowid,hostname,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_bmassj,st_teff,st_mass,st_dist
1,11 Com,1,Radial Velocity,326.03,1.29,19.4,4742,2.7,93.1846
2,11 Com,1,Radial Velocity,,1.21,17.1,,2.6,93.1846
3,11 UMi,1,Radial Velocity,516.22,1.54,10.5,4340,1.8,125.321
4,11 UMi,1,Radial Velocity,,1.51,10.8,,1.7,125.321
5,11 UMi,1,Radial Velocity,516.21997,1.53,14.74,4213,2.78,125.321
6,14 And,1,Radial Velocity,185.84,0.83,4.8,4813,2.2,75.4392
7,14 And,1,Radial Velocity,,0.68,3.2,,1.2,75.4392
8,14 Her,2,Radial Velocity,1796.4,2.8,4.74,5255,0.9,17.9323
9,14 Her,2,Radial Velocity,1766.41,2.83,4.85,5314.94,0.97,17.9323
10,14 Her,2,Radial Velocity,1766,2.864,4.975,5280,0.91,17.9323
11,14 Her,2,Radial Velocity,1773.40002,2.93,4.66,5338,0.9,17.9323
12,14 Her,2,Radial Velocity,,2.73,4.533,,0.9,17.9323
13,14 Her,2,Radial Velocity,1765.038901,2.773069,8.13881,,0.91,17.9323
14,14 Her,2,Radial Velocity,1724,2.82,4.89,,1,17.9323
15,14 Her,2,Radial Velocity,1773.4,2.77,4.64,,,17.9323
16,16 Cyg B,1,Radial Velocity,798.5,1.66,1.78,5750,1.08,21.1397
17,16 Cyg B,1,Radial Velocity,799.45,1.676,1.752,5711.97,0.98,21.1397
18,16 Cyg B,1,Radial Velocity,798.5,1.681,1.68,5674,0.99,21.1397
19,16 Cyg B,1,Radial Velocity,800.8,1.6,1.5,5760,1,21.1397
20,16 Cyg B,1,Radial Velocity,799.5,1.68,1.68,5747,1.03,21.1397
21,16 Cyg B,1,Radial Velocity,799.5,1.68,1.68,,,21.1397
22,17 Sco,1,Radial Velocity,578.38,1.45,4.32,4157,1.22,124.953
23,18 Del,1,Radial Velocity,993.3,2.6,10.3,4979,2.3,76.222
24,18 Del,1,Radial Velocity,,2.54,9.84,,2.1,76.222
25,1RXS J160929.1-210524,1,Imaging,,330,8,4060,0.85,139.135
26,1RXS J160929.1-210524,1,Imaging,,330,12,4060,0.85,139.135
27,1RXS J160929.1-210524,1,Imaging,,330,8,4060,0.85,139.135
28,1RXS J160929.1-210524,1,Imaging,,330,8,3993,0.62,139.135
29,24 Boo,1,Radial Velocity,30.3506,0.19,0.91,4893,0.99,95.9863
30,24 Sex,2,Radial Velocity,452.8,1.333,1.99,5098,1.54,72.0691
31,24 Sex,2,Radial Velocity,883,2.08,0.86,5098,1.54,72.0691
32,2MASS J04372171+2651014,1,Imaging,,118,4,3100,0.17,128.484
33,2MASS J01033563-5515561 A,1,Imaging,,84,13,,0.19,
34,2MASS J01225093-2439505,1,Imaging,,,,3309,0.35,33.8281
35,2MASS J01225093-2439505,1,Imaging,,52,24.5,3530,0.4,33.8281
36,2MASS J02192210-3925225,1,Imaging,,156,13.9,3064,0.11,
37,2MASS J04414489+2301513,1,Imaging,,15,7.5,,0.02,
38,2MASS J12073346-3932539,1,Imaging,,46,4,2825,0.19,64.308
39,2MASS J12073346-3932539,1,Imaging,,55,5,,0.02,64.308
40,2MASS J19383260+4603591,3,Eclipse Timing Variations,406,,1.86,29564,0.48,396.332
41,2MASS J19383260+4603591,3,Eclipse Timing Variations,416,0.92,1.9,,0.48,396.332
42,2MASS J21402931+1625183 A,1,Imaging,7336.5,,20.95,2300,0.08,
43,2MASS J22362452+4751425,1,Imaging,,230,12.5,4045,0.6,69.5737
44,30 Ari B,1,Radial Velocity,345.4,1.01,6.6,,1.16,44.657
45,30 Ari B,1,Radial Velocity,335.1,0.995,9.88,6300,1.16,44.657
46,30 Ari B,1,Radial Velocity,335.10001,0.99,13.82,6331,1.93,44.657
47,4 UMa,1,Radial Velocity,269.3,0.87,7.1,4415,1.23,73.4603
48,42 Dra,1,Radial Velocity,479.1,1.19,3.88,4200,0.98,90.6545
49,47 UMa,3,Radial Velocity,1083.2,2.11,2.6,,,13.7967
50,47 UMa,3,Radial Velocity,1100.8,2.11,2.76,,,13.7967
51,47 UMa,3,Radial Velocity,1078,2.1,2.53,5872,1.06,13.7967
52,47 UMa,3,Radial Velocity,1076.6,2.059,2.438,5829.16,1.01,13.7967
53,47 UMa,3,Radial Velocity,1076.6,2.1,2.45,5882,1.06,13.7967
54,47 UMa,3,Radial Velocity,7586,7.73,1.34,,,13.7967
55,47 UMa,3,Radial Velocity,2287,3.404,0.497,5829.16,1.01,13.7967
56,47 UMa,3,Radial Velocity,2391,3.6,0.54,5872,1.06,13.7967
57,47 UMa,3,Radial Velocity,14002,11.6,1.64,5872,1.06,13.7967
58,47 UMa,3,Radial Velocity,19000,13.8,1.51,5829.16,1.01,13.7967
59,51 Eri,1,Imaging,14965,14,,7295,1.65,29.7575
60,51 Eri,1,Imaging,,13.2,2,,1.75,29.7575
61,51 Eri,1,Imaging,11688,12,,7295,1.65,29.7575
62,51 Peg,1,Radial Velocity,4.230785,0.0527,0.472,5758,1.03,15.4614
63,51 Peg,1,Radial Velocity,4.23077,0.052,0.468,,,15.4614
64,51 Peg,1,Radial Velocity,4.2293,,0.47,5773,,15.4614
65,51 Peg,1,Radial Velocity,4.2307969,0.05235,0.464,5760.76,1.07,15.4614
66,51 Peg,1,Radial Velocity,4.231,0.052,0.46,,1.04,15.4614
67,55 Cnc,5,Radial Velocity,14.65126,0.1138,0.82,5250,0.9,12.5855
68,55 Cnc,5,Radial Velocity,14.648,0.11,0.84,5200,0.85,12.5855
69,55 Cnc,5,Radial Velocity,14.6,0.113,0.8,,,12.5855
70,55 Cnc,5,Radial Velocity,14.65162,0.115,0.824,5250,0.9,12.5855
71,55 Cnc,5,Radial Velocity,14.651,0.1134,0.8,5250,0.9,12.5855
72,55 Cnc,5,Radial Velocity,14.647,0.115,0.91,,,12.5855
73,55 Cnc,5,Radial Velocity,14.465314,0.11339,0.84,5250,0.9,12.5855
74,55 Cnc,5,Radial Velocity,14.65152,0.115227,0.8306,,0.95,12.5855
75,55 Cnc,5,Radial Velocity,14.653,0.115,0.84,,0.95,12.5855
76,55 Cnc,5,Radial Velocity,14.65171,0.1162,0.841,5317.89,0.97,12.5855
77,55 Cnc,5,Radial Velocity,14.67,0.115,0.784,,0.95,12.5855
78,55 Cnc,5,Radial Velocity,14.6516,0.1134,0.8036,5172,0.91,12.5855
79,55 Cnc,5,Radial Velocity,44.3446,0.24,0.169,5250,0.9,12.5855
80,55 Cnc,5,Radial Velocity,44.3827,0.2432,0.171,5317.89,0.97,12.5855
81,55 Cnc,5,Radial Velocity,44.3989,0.2373,0.1611,5172,0.91,12.5855
82,55 Cnc,5,Radial Velocity,44.3787,0.238,0.165,5250,0.9,12.5855
83,55 Cnc,5,Radial Velocity,44.38,0.237,0.165,5250,0.9,12.5855
84,55 Cnc,5,Radial Velocity,44.373,0.23735,0.1784,5250,0.9,12.5855
85,55 Cnc,5,Radial Velocity,43.93,0.24,0.217,,0.95,12.5855
86,55 Cnc,5,Radial Velocity,44.4175,0.241376,0.1714,,0.95,12.5855
87,55 Cnc,5,Radial Velocity,4867,5.446,3.86,5250,0.9,12.5855
88,55 Cnc,5,Radial Velocity,5218,5.77,3.835,5250,0.9,12.5855
89,55 Cnc,5,Radial Velocity,4820,5.54,2.86,5317.89,0.97,12.5855
90,55 Cnc,5,Radial Velocity,4517.4,5.257,3.912,,0.95,12.5855
91,55 Cnc,5,Radial Velocity,5370,5.84,3.84,5250,0.9,12.5855
92,55 Cnc,5,Radial Velocity,5360,5.9,4.05,,0.95,12.5855
93,55 Cnc,5,Radial Velocity,4909,5.47,3.53,5250,0.9,12.5855
94,55 Cnc,5,Radial Velocity,4545,5.28,2.89,,,12.5855
95,55 Cnc,5,Radial Velocity,5574.2,5.957,3.12,5172,0.91,12.5855
96,55 Cnc,5,Radial Velocity,4825,5.503,3.878,,0.95,12.5855
97,55 Cnc,5,Radial Velocity,0.7365515,0.015691,0.02561,,0.95,12.5855
98,55 Cnc,5,Radial Velocity,,,,5250,0.9,12.5855
